Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_100nlminA_25cm_4-18-2024_Slot2-91_5563.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_100nlminA_25cm_4-18-2024_Slot2-91_5564.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_100nlminA_25cm_4-19-2024_Slot2-91_5565.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_100nlminA_25cm_4-19-2024_Slot2-91_5566.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_100nlminA_25cm_4-19-2024_Slot2-91_5567.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_150nlminA_25cm_4-19-2024_Slot2-91_5569.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_150nlminA_25cm_4-19-2024_Slot2-91_5570.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_150nlminA_25cm_4-19-2024_Slot2-91_5571.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_150nlminA_25cm_4-19-2024_Slot2-91_5572.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_150nlminA_25cm_4-19-2024_Slot2-91_5573.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminA_25cm_4-19-2024_Slot2-91_5575.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminA_25cm_4-19-2024_Slot2-91_5576.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminA_25cm_4-19-2024_Slot2-91_5577.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminA_25cm_4-19-2024_Slot2-91_5578.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminA_25cm_4-19-2024_Slot2-91_5579.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminB_25cm_4-19-2024_Slot2-91_5581.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminB_25cm_4-19-2024_Slot2-91_5582.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminB_25cm_4-19-2024_Slot2-91_5583.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminB_25cm_4-19-2024_Slot2-91_5584.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminB_25cm_4-19-2024_Slot2-91_5585.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminC_25cm_4-19-2024_Slot2-91_5587.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminC_25cm_4-19-2024_Slot2-91_5588.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminC_25cm_4-19-2024_Slot2-91_5589.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminC_25cm_4-19-2024_Slot2-91_5590.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminC_25cm_4-19-2024_Slot2-91_5591.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_250nlminA_25cm_4-19-2024_Slot2-91_5592.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_250nlminA_25cm_4-19-2024_Slot2-91_5593.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_250nlminA_25cm_4-19-2024_Slot2-91_5594.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_250nlminA_25cm_4-19-2024_Slot2-91_5595.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_250nlminA_25cm_4-19-2024_Slot2-91_5596.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_300nlminB_25cm_4-20-2024_Slot2-91_5597.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_300nlminB_25cm_4-20-2024_Slot2-91_5598.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_300nlminB_25cm_4-20-2024_Slot2-91_5599.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_300nlminB_25cm_4-20-2024_Slot2-91_5600.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_300nlminB_25cm_4-20-2024_Slot2-91_5601.d
A0A0B4J2D5;P0DPI2	P0DPI2;A0A0B4J2D5	GAL3A_HUMAN;GAL3B_HUMAN	GATD3;GATD3B	"Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial"							2389.47	2754.5			856.744	983.121	1284.04	932.128	901.371	2864.79	1391.35	2060.2	607.42	800.65	1248.38	1346.37	1723.46	1217.82	783.303	1174.29	1012.74	1087.39	710.313	1004.51	1219.04	870.753	839.935	1124.44	996.656
A0AVT1	A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6								1033.34			911.743	454.726	482.667	911.525	706.039	1324.42	874.424	1064.29	868.441	702.071	762.518	775.108	802.791	577.36	767.48	984.04	967.645	823.445	818.648	1061.65	447.949	1125.02	756.189	985.393	874
A0FGR8	A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2								569.937	718.126	665.914		929.338	914.77	504.835		772.417	590.97	532.609	801.502	387.685	678.673	821.103	1022.28	1087.73	943.017	1035.11	503.287	895.783	966.844	722.577	268.092	486.705	319.651	413.416	1066.67
A0MZ66	A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1								554.433			203.14	440.777	79.0078		200.15	291.436	164.182	297.724	688.675		401.286	344.309	528.182	517.939	176.852	283.943	455.708		152.895		209.795		375.558	387.215	436.392
A1L0T0	A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2										248.006		322.461	316.541		138.718	231.633		237.311	427.325	304.035		301.914			283.85	192.094	346.407		241.588		289.373				466.757
A1X283	A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B								583.236	511.841	1158.34	987.625	587.711	507.246	870.744				401.085		791.761	583.514		758.088	653.453	296.966	549.667		546.302	823.321	403.067	575.66	622.78	630.124		1326.79
A4FU69	A4FU69	EFCB5_HUMAN	EFCAB5	EF-hand calcium-binding domain-containing protein 5							2856.11	1984.22					1673.32	863.687						1688.76		1293.26												1324.12	
A5YKK6	A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1											254.672	595.949	676.61	751.708	532.442		408.326	515.032		422.566	500.984	491.299	553.093	816.059	623.554	407.241	1047.53	705.854	426.193	516.749	627.935	469.136	471.74	371.713	426.121
A6NCE7;Q9GZQ8;Q9H492	A6NCE7;Q9GZQ8;Q9H492	MLP3A_HUMAN;MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3A;MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2						2603.71	2219	1981.37	2213.55		1604.59	1678.23	1488.46	2623.33	1380.96	2353.62		1139.88			1693.34	1393.49		1106.61		1809.85		1969.01			1612.93	1350.01	1541.74	2040.47	1055.97
A6NDG6	A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase							1723.11	1534.93	2508.84	1733.97	1689.58	1397.05	1394.41	2023.14	2097.96	1855.23	1983.88	1839.46	2212.68	1819.5	1769.96	1914.57	2208	1708.75	1408.5	2228.9	1644.15	1757.37	1208.3	1478.18	1229.26	1502.66	1247.07	1575.02	1656.78
A6NHQ2	A6NHQ2	FBLL1_HUMAN	FBLL1	rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1						652.051					3109.46	3937.41	3080.02	3769.88	3627.43		2609.66	2839.62	2736.49	3445.07	3943.81	4046.05	3792.14	4315.62	2171.2	2384.47	3201.57	3653.11	3485.15	3381.81	4232.12	3803.62	2145.72	3554.23	4177.69
A6NHR9	A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1							608.204				681.704	581.711	335.294	615.959	319.594								501.576						763.734	663.561				1206.45	
A6NHS7	A6NHS7	MANS4_HUMAN	MANSC4	MANSC domain-containing protein 4							730.376			579.669		682.287					545.74		428.541		431.717	542.826	525.822	290.772	310.336			913.233	776.039						
A6NKF1	A6NKF1	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1														734.804	744.957		340.707				767.479					792.672			350.952						
A6ZKI3	Q9BWD3;Q17RB0;A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C												357.2					678.456	399.181	328.299		853.94						671.54	384.312			685.12	293.018			259.029
A8MWD9;P62308	P62308;A8MWD9	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15											4248.07	5957.64	5201.71	5451.63	5092.46	8542.86	7363.25				5510.7	6821.34	6607.08	5726.79	5636.15	7150.13	6972.11	7279.15	7374.16	6179.14	6519.03	6804.83	7533.56	6883.96	5742.75
